"review_order","source_row","decision_approve_edit_move_reject","native_russian_correction","english_correction","level","register_note","sensitive_content_note","reviewer_comment","russian","transliteration","english","category"
"1","543","","","","","","","","Скажи, пожалуйста, что мы здесь делаем?","Skazhi, pozhaluysta, chto my zdes delaem?","Please, what are we doing here?","Core Social Language"
"2","2911","","","","","","","","Простите, что вы имеете в виду?","Prostite, chto vy imeete v vidu?","Excuse me, what do you mean?","Fluency Builder 6"
"3","148","","","","","","","","Простите, что Вы только что сказали?","Prostite, chto Vy tolko chto skazali?","Excuse me, what have you just said?","Fluency Builder 1"
"4","416","","","","","","","","Вы мне не поможете перевести это?","Vy mne ne pomozhete perevesti eto?","Would you please help me translate this?","Core Social Language"
"5","472","","","","","","","","Можно мне это на вынос, пожалуйста?","Mozhno mne eto na vynos, pozhaluysta?","Can I please have this to go?","Core Social Language"
"6","1264","","","","","","","","Простите, вы мне дорогу не покажете?","Prostite, vy mne dorogu ne pokazhete?","Will you please show me the way?","Core Social Language"
"7","1293","","","","","","","","Будьте добры, сколько стоит эта вещь?","Budte dobry, skolko stoit eta veshch?","How much does this thing cost, please?","Core Social Language"
"8","236","","","","","","","","Я только хочу сказать вам спасибо.","Ya tolko khochu skazat vam spasibo.","I just want to say thank you.","Core Social Language"
"9","1009","","","","","","","","Спасибо, что помогли мне это сделать.","Spasibo, chto pomogli mne eto sdelat.","Thank you for helping me do this.","Core Social Language"
"10","1019","","","","","","","","Пожалуйста, скажи мне, куда потом идти.","Pozhaluysta, skazhi mne, kuda potom idti.","Please tell me where to go next.","Core Social Language"
"11","1037","","","","","","","","Что ещё нам нужно купить?","Chto eshchyo nam nuzhno kupit?","What else do we need to buy?","Shopping & Money"
"12","1970","","","","","","","","Простите, что не могу вам помочь.","Prostite, chto ne mogu vam pomoch.","I am sorry I cannot help you.","Core Social Language"
"13","2035","","","","","","","","Я хотел поблагодарить тебя за это.","Ya khotel poblagodarit tebya za eto.","I wanted to thank you for that.","Core Social Language"
"14","2133","","","","","","","","Простите, я думал, что уже ответил.","Prostite, ya dumal, chto uzhe otvetil.","Sorry, I thought I had already answered.","Core Social Language"
"15","2256","","","","","","","","Скажи мне, пожалуйста, чего ты хочешь.","Skazhi mne, pozhaluysta, chego ty khochesh.","Please let me know what you want.","Core Social Language"
"16","2314","","","","","","","","Пожалуйста, скажите мне, что это шутка.","Pozhaluysta, skazhite mne, chto eto shutka.","Please tell me this is a joke.","Core Social Language"
"17","2410","","","","","","","","Что это вы там делали?","Chto eto vy tam delali?","What was it that you did there?","Fluency Builder 5"
"18","2417","","","","","","","","Что ещё он тебе сказал?","Chto eshchyo on tebe skazal?","What else has he said to you?","Fluency Builder 5"
"19","2418","","","","","","","","Вы хоть знаете, кто он?","Vy khot znaete, kto on?","Do you even know who he is?","Fluency Builder 5"
"20","2442","","","","","","","","Что ты ожидаешь здесь найти?","Chto ty ozhidaesh zdes nayti?","What do you expect to find here?","Fluency Builder 5"
"21","2449","","","","","","","","Сейчас уже можно идти домой?","Seychas uzhe mozhno idti domoy?","Is it OK to go home now?","Home & Family Life"
"22","2491","","","","","","","","Ты можешь купить мне мороженое?","Ty mozhesh kupit mne morozhenoe?","Can you buy me an ice cream?","Shopping & Money"
"23","2495","","","","","","","","Можно мне тебя завтра навестить?","Mozhno mne tebya zavtra navestit?","May I come and see you tomorrow?","Time & Plans"
"24","2608","","","","","","","","Вы знаете, что будет потом?","Vy znaete, chto budet potom?","Do you know what'll happen next?","Fluency Builder 6"
"25","3801","","","","","","","","Спасибо, что ты на моей стороне.","Spasibo, chto ty na moey storone.","Thank you for being by my side.","Core Social Language"
"26","4025","","","","","","","","Спасибо, что пришёл мне на помощь.","Spasibo, chto prishyol mne na pomoshch.","Thank you for coming to my rescue.","Core Social Language"
"27","4113","","","","","","","","Спасибо, что одолжил нам эту книгу.","Spasibo, chto odolzhil nam etu knigu.","Thank you for lending us the book.","Core Social Language"
"28","4226","","","","","","","","Извини, что раньше тебе не ответил.","Izvini, chto ranshe tebe ne otvetil.","Sorry for not responding to you sooner.","Core Social Language"
"29","4322","","","","","","","","Пожалуйста, скажи им, как я сожалею.","Pozhaluysta, skazhi im, kak ya sozhaleyu.","Please tell them how sorry I am.","Core Social Language"
"30","4371","","","","","","","","Спасибо вам за очень полезный совет.","Spasibo vam za ochen poleznyy sovet.","Thank you for the very helpful advice.","Core Social Language"
"31","1374","","","","","","","","А можно ещё раз так сделать?","A mozhno eshchyo raz tak sdelat?","Can you do that again, please?","Core Social Language"
"32","4392","","","","","","","","Спасибо, что пригласили меня на ужин.","Spasibo, chto priglasili menya na uzhin.","Thank you for inviting me to dinner.","Core Social Language"
"33","4802","","","","","","","","Пожалуйста, приходи домой как можно скорее!","Pozhaluysta, prikhodi domoy kak mozhno skoree!","Please come home as quickly as possible.","Core Social Language"
"34","809","","","","","","","","Мне очень жаль, что я опоздал.","Mne ochen zhal, chto ya opozdal.","I'm awfully sorry that I was late.","Core Social Language"
"35","811","","","","","","","","Мне жаль, что здесь ты уйдёшь.","Mne zhal, chto zdes ty uydyosh.","I'm sorry that you are leaving here.","Core Social Language"
"36","881","","","","","","","","Я хотела сказать, что я сожалею.","Ya khotela skazat, chto ya sozhaleyu.","I wanted to say that I'm sorry.","Core Social Language"
"37","4938","","","","","","","","А что, если я индеец?","A chto, esli ya indeets?","What if I am a Native American?","Fluency Builder 10"
"38","4940","","","","","","","","Кто тебе всё это дал?","Kto tebe vsyo eto dal?","Who gave all this stuff to you?","Fluency Builder 10"
"39","4961","","","","","","","","Кто вам говорил обо мне?","Kto vam govoril obo mne?","Who has spoken to you about me?","Fluency Builder 10"
"40","4974","","","","","","","","Что вы оба делаете здесь?","Chto vy oba delaete zdes?","What are you both doing in here?","Fluency Builder 10"
"41","4990","","","","","","","","Что плохого я тебе сделал?","Chto plokhogo ya tebe sdelal?","What did I ever do to you?","Fluency Builder 10"
"42","998","","","","","","","","Извините. Я ещё только учусь читать.","Izvinite. Ya eshchyo tolko uchus chitat.","Sorry. I'm still learning how to read.","Core Social Language"
"43","2868","","","","","","","","Не могла бы ты это записать?","Ne mogla by ty eto zapisat?","Could you please write it down?","Core Social Language"
"44","3036","","","","","","","","Могу ли я посмотреть номер, пожалуйста?","Mogu li ya posmotret nomer, pozhaluysta?","Could I see the room please?","Core Social Language"
"45","38","","","","","","","","Что ещё я могу тебе сказать?","Chto eshchyo ya mogu tebe skazat?","What else can I tell you?","Fluency Builder 1"
"46","39","","","","","","","","Что ещё мы можем сейчас сделать?","Chto eshchyo my mozhem seychas sdelat?","What else can we do now?","Fluency Builder 1"
"47","3061","","","","","","","","Могу я увидеть вашу лицензию, пожалуйста?","Mogu ya uvidet vashu litsenziyu, pozhaluysta?","Can I see your license, please?","Core Social Language"
"48","3076","","","","","","","","Будьте добры, Вы можете говорить помедленнее?","Budte dobry, Vy mozhete govorit pomedlennee?","Can you speak more slowly, please?","Core Social Language"
"49","165","","","","","","","","Я могу это у тебя купить?","Ya mogu eto u tebya kupit?","Can I buy that from you?","Shopping & Money"
"50","166","","","","","","","","И как он может делать это?","I kak on mozhet delat eto?","And how can he do that?","Questions & Answers"
"51","168","","","","","","","","Кто ещё знал, что ты здесь?","Kto eshchyo znal, chto ty zdes?","Who else knew you were here?","Fluency Builder 1"
"52","170","","","","","","","","Как ты можешь её не любить?","Kak ty mozhesh eyo ne lyubit?","How can you not like her?","Questions & Answers"
"53","172","","","","","","","","Вы можете помочь нам их найти?","Vy mozhete pomoch nam ikh nayti?","Can you help us find them?","Fluency Builder 1"
"54","176","","","","","","","","Могу я спросить, что это значит?","Mogu ya sprosit, chto eto znachit?","May I ask what that means?","Fluency Builder 1"
"55","1942","","","","","","","","Мне жаль, что заставил вас ждать.","Mne zhal, chto zastavil vas zhdat.","I'm sorry to have kept you waiting.","Core Social Language"
"56","1999","","","","","","","","Прости, что наорал на тебя вчера.","Prosti, chto naoral na tebya vchera.","I'm sorry for yelling at you yesterday.","Core Social Language"
"57","573","","","","","","","","Где, по её мнению, я был?","Gde, po eyo mneniyu, ya byl?","Where did she think I was?","Questions & Answers"
"58","574","","","","","","","","Ну и что это сейчас было?","Nu i chto eto seychas bylo?","Well what was that right now?","Fluency Builder 2"
"59","585","","","","","","","","Ты рад, что мы это сделали?","Ty rad, chto my eto sdelali?","Are you glad we did this?","Fluency Builder 2"
"60","586","","","","","","","","Как вы могли меня не видеть?","Kak vy mogli menya ne videt?","How could you not see me?","Questions & Answers"
